input,output,original_input,original_output,category_name,operations,spaced
p r o m i s e,E,promise,E,upper_last,uppercase+last_letter,True
p r o o f,F,proof,F,upper_last,uppercase+last_letter,True
p r o p r e,E,propre,E,upper_last,uppercase+last_letter,True
p r è s,S,près,S,upper_last,uppercase+last_letter,True
p r í n c i p e,E,príncipe,E,upper_last,uppercase+last_letter,True
p u e r t a,A,puerta,A,upper_last,uppercase+last_letter,True
p u l l,L,pull,L,upper_last,uppercase+last_letter,True
p u r p l e,E,purple,E,upper_last,uppercase+last_letter,True
p u r s u e,E,pursue,E,upper_last,uppercase+last_letter,True
p u s h,H,push,H,upper_last,uppercase+last_letter,True
p á g i n a,A,página,A,upper_last,uppercase+last_letter,True
p á j a r o,O,pájaro,O,upper_last,uppercase+last_letter,True
p è r e,E,père,E,upper_last,uppercase+last_letter,True
q u a t r e,E,quatre,E,upper_last,uppercase+last_letter,True
q u e e n,N,queen,N,upper_last,uppercase+last_letter,True
q u e s o,O,queso,O,upper_last,uppercase+last_letter,True
r a d i a t e,E,radiate,E,upper_last,uppercase+last_letter,True
r a d i o,O,radio,O,upper_last,uppercase+last_letter,True
r a p i d e,E,rapide,E,upper_last,uppercase+last_letter,True
r a y,Y,ray,Y,upper_last,uppercase+last_letter,True
r e a d,D,read,D,upper_last,uppercase+last_letter,True
r e a l i z e,E,realize,E,upper_last,uppercase+last_letter,True
r e c e i v e,E,receive,E,upper_last,uppercase+last_letter,True
r e c o g n i z e,E,recognize,E,upper_last,uppercase+last_letter,True
r e d,D,red,D,upper_last,uppercase+last_letter,True
r e e f,F,reef,F,upper_last,uppercase+last_letter,True
r e i n a,A,reina,A,upper_last,uppercase+last_letter,True
r e i n e,E,reine,E,upper_last,uppercase+last_letter,True
r e l a t e,E,relate,E,upper_last,uppercase+last_letter,True
r e l a x,X,relax,X,upper_last,uppercase+last_letter,True
r e p e a t,T,repeat,T,upper_last,uppercase+last_letter,True
r e s c u e,E,rescue,E,upper_last,uppercase+last_letter,True
r e s t,T,rest,T,upper_last,uppercase+last_letter,True
r e y,Y,rey,Y,upper_last,uppercase+last_letter,True
r i c h,H,rich,H,upper_last,uppercase+last_letter,True
r i c h e,E,riche,E,upper_last,uppercase+last_letter,True
r i c o,O,rico,O,upper_last,uppercase+last_letter,True
r i g h t,T,right,T,upper_last,uppercase+last_letter,True
r o i,I,roi,I,upper_last,uppercase+last_letter,True
r o j o,O,rojo,O,upper_last,uppercase+last_letter,True
r o o f,F,roof,F,upper_last,uppercase+last_letter,True
r o s a,A,rosa,A,upper_last,uppercase+last_letter,True
r o s e,E,rose,E,upper_last,uppercase+last_letter,True
r o t a t e,E,rotate,E,upper_last,uppercase+last_letter,True
r o u g e,E,rouge,E,upper_last,uppercase+last_letter,True
r u e,E,rue,E,upper_last,uppercase+last_letter,True
r u n,N,run,N,upper_last,uppercase+last_letter,True
r u n n e r,R,runner,R,upper_last,uppercase+last_letter,True
r á p i d o,O,rápido,O,upper_last,uppercase+last_letter,True
s a d,D,sad,D,upper_last,uppercase+last_letter,True
s a f e,E,safe,E,upper_last,uppercase+last_letter,True
s a i l,L,sail,L,upper_last,uppercase+last_letter,True
s a i l o r,R,sailor,R,upper_last,uppercase+last_letter,True
s a l,L,sal,L,upper_last,uppercase+last_letter,True
s a l e,E,sale,E,upper_last,uppercase+last_letter,True
s a l t,T,salt,T,upper_last,uppercase+last_letter,True
s c a r f,F,scarf,F,upper_last,uppercase+last_letter,True
s c h o o l,L,school,L,upper_last,uppercase+last_letter,True
s c i e n t i s t,T,scientist,T,upper_last,uppercase+last_letter,True
s e e,E,see,E,upper_last,uppercase+last_letter,True
s e i s,S,seis,S,upper_last,uppercase+last_letter,True
s e l,L,sel,L,upper_last,uppercase+last_letter,True
s e l f,F,self,F,upper_last,uppercase+last_letter,True
s e m a i n e,E,semaine,E,upper_last,uppercase+last_letter,True
s e m a n a,A,semana,A,upper_last,uppercase+last_letter,True
s e n t e n c e,E,sentence,E,upper_last,uppercase+last_letter,True
s e p a r a t e,E,separate,E,upper_last,uppercase+last_letter,True
s e p t,T,sept,T,upper_last,uppercase+last_letter,True
s e v e n,N,seven,N,upper_last,uppercase+last_letter,True
s h a r e,E,share,E,upper_last,uppercase+last_letter,True
s h e e p,P,sheep,P,upper_last,uppercase+last_letter,True
s h e l f,F,shelf,F,upper_last,uppercase+last_letter,True
s h o r t,T,short,T,upper_last,uppercase+last_letter,True
s h o u t,T,shout,T,upper_last,uppercase+last_letter,True
s i e t e,E,siete,E,upper_last,uppercase+last_letter,True
s i l l a,A,silla,A,upper_last,uppercase+last_letter,True
s i n g,G,sing,G,upper_last,uppercase+last_letter,True
s i n g e r,R,singer,R,upper_last,uppercase+last_letter,True
s i s t e r,R,sister,R,upper_last,uppercase+last_letter,True
s i t,T,sit,T,upper_last,uppercase+last_letter,True
s i x,X,six,X,upper_last,uppercase+last_letter,True
s k a t e,E,skate,E,upper_last,uppercase+last_letter,True
s k i,I,ski,I,upper_last,uppercase+last_letter,True
s l e e p,P,sleep,P,upper_last,uppercase+last_letter,True
s l o w,W,slow,W,upper_last,uppercase+last_letter,True
s m a l l,L,small,L,upper_last,uppercase+last_letter,True
s m e l l,L,smell,L,upper_last,uppercase+last_letter,True
s m i l e,E,smile,E,upper_last,uppercase+last_letter,True
s o l,L,sol,L,upper_last,uppercase+last_letter,True
s o l d a d o,O,soldado,O,upper_last,uppercase+last_letter,True
s o l d a t,T,soldat,T,upper_last,uppercase+last_letter,True
s o l d i e r,R,soldier,R,upper_last,uppercase+last_letter,True
s o l e i l,L,soleil,L,upper_last,uppercase+last_letter,True
s o n,N,son,N,upper_last,uppercase+last_letter,True
s o n g,G,song,G,upper_last,uppercase+last_letter,True
s p o o n,N,spoon,N,upper_last,uppercase+last_letter,True
s p o r t,T,sport,T,upper_last,uppercase+last_letter,True
s t a n d,D,stand,D,upper_last,uppercase+last_letter,True
s t a r,R,star,R,upper_last,uppercase+last_letter,True
s t a r t,T,start,T,upper_last,uppercase+last_letter,True
s t i m u l a t e,E,stimulate,E,upper_last,uppercase+last_letter,True
s t o m a c h,H,stomach,H,upper_last,uppercase+last_letter,True
s t o p,P,stop,P,upper_last,uppercase+last_letter,True
s t o r y,Y,story,Y,upper_last,uppercase+last_letter,True
s t r e e t,T,street,T,upper_last,uppercase+last_letter,True
s t r e t c h,H,stretch,H,upper_last,uppercase+last_letter,True
s t r o n g,G,strong,G,upper_last,uppercase+last_letter,True
s t u d e n t,T,student,T,upper_last,uppercase+last_letter,True
s t u d i o,O,studio,O,upper_last,uppercase+last_letter,True
s t u d y,Y,study,Y,upper_last,uppercase+last_letter,True
s u c i o,O,sucio,O,upper_last,uppercase+last_letter,True
s u c r e,E,sucre,E,upper_last,uppercase+last_letter,True
s u g a r,R,sugar,R,upper_last,uppercase+last_letter,True
s u n,N,sun,N,upper_last,uppercase+last_letter,True
s u r p r i s e,E,surprise,E,upper_last,uppercase+last_letter,True
s w i m,M,swim,M,upper_last,uppercase+last_letter,True
s w i m m e r,R,swimmer,R,upper_last,uppercase+last_letter,True
s í,Í,sí,Í,upper_last,uppercase+last_letter,True
s œ u r,R,sœur,R,upper_last,uppercase+last_letter,True
t a b l e,E,table,E,upper_last,uppercase+last_letter,True
t a i l o r,R,tailor,R,upper_last,uppercase+last_letter,True
t a k e,E,take,E,upper_last,uppercase+last_letter,True
t a l k,K,talk,K,upper_last,uppercase+last_letter,True
t a n t e,E,tante,E,upper_last,uppercase+last_letter,True
t a s t e,E,taste,E,upper_last,uppercase+last_letter,True
t e a,A,tea,A,upper_last,uppercase+last_letter,True
t e a c h,H,teach,H,upper_last,uppercase+last_letter,True
t e a c h e r,R,teacher,R,upper_last,uppercase+last_letter,True
t e m p s,S,temps,S,upper_last,uppercase+last_letter,True
t e n,N,ten,N,upper_last,uppercase+last_letter,True
t e r m i n a t e,E,terminate,E,upper_last,uppercase+last_letter,True
t h e s i s,S,thesis,S,upper_last,uppercase+last_letter,True
t h i e f,F,thief,F,upper_last,uppercase+last_letter,True
t h i n k,K,think,K,upper_last,uppercase+last_letter,True
t h o u s a n d,D,thousand,D,upper_last,uppercase+last_letter,True
t h r e e,E,three,E,upper_last,uppercase+last_letter,True
t h r o w,W,throw,W,upper_last,uppercase+last_letter,True
t h é,É,thé,É,upper_last,uppercase+last_letter,True
t i e m p o,O,tiempo,O,upper_last,uppercase+last_letter,True
t i m e,E,time,E,upper_last,uppercase+last_letter,True
t o d a y,Y,today,Y,upper_last,uppercase+last_letter,True
t o e,E,toe,E,upper_last,uppercase+last_letter,True
t o l e r a t e,E,tolerate,E,upper_last,uppercase+last_letter,True
t o m a t o,O,tomato,O,upper_last,uppercase+last_letter,True
t o m o r r o w,W,tomorrow,W,upper_last,uppercase+last_letter,True
t o o t h,H,tooth,H,upper_last,uppercase+last_letter,True
t o u c h,H,touch,H,upper_last,uppercase+last_letter,True
t o y,Y,toy,Y,upper_last,uppercase+last_letter,True
t r a b a j a d o r,R,trabajador,R,upper_last,uppercase+last_letter,True
t r a n s l a t e,E,translate,E,upper_last,uppercase+last_letter,True
t r a v e l,L,travel,L,upper_last,uppercase+last_letter,True
t r e a t,T,treat,T,upper_last,uppercase+last_letter,True
t r e e,E,tree,E,upper_last,uppercase+last_letter,True
t r e s,S,tres,S,upper_last,uppercase+last_letter,True
t r i s t e,E,triste,E,upper_last,uppercase+last_letter,True
t r o i s,S,trois,S,upper_last,uppercase+last_letter,True
t w o,O,two,O,upper_last,uppercase+last_letter,True
t é,É,té,É,upper_last,uppercase+last_letter,True
t ê t e,E,tête,E,upper_last,uppercase+last_letter,True
t í a,A,tía,A,upper_last,uppercase+last_letter,True
t í o,O,tío,O,upper_last,uppercase+last_letter,True
u g l y,Y,ugly,Y,upper_last,uppercase+last_letter,True
u n,N,un,N,upper_last,uppercase+last_letter,True
u n c l e,E,uncle,E,upper_last,uppercase+last_letter,True
u n i t e,E,unite,E,upper_last,uppercase+last_letter,True
u n o,O,uno,O,upper_last,uppercase+last_letter,True
u p,P,up,P,upper_last,uppercase+last_letter,True
v a c í o,O,vacío,O,upper_last,uppercase+last_letter,True
v a l i d a t e,E,validate,E,upper_last,uppercase+last_letter,True
v a l u e,E,value,E,upper_last,uppercase+last_letter,True
v e i n,N,vein,N,upper_last,uppercase+last_letter,True
v e n t a n a,A,ventana,A,upper_last,uppercase+last_letter,True
v e r d e,E,verde,E,upper_last,uppercase+last_letter,True
v e r t,T,vert,T,upper_last,uppercase+last_letter,True
v i b r a t e,E,vibrate,E,upper_last,uppercase+last_letter,True
v i d e,E,vide,E,upper_last,uppercase+last_letter,True
v i d e o,O,video,O,upper_last,uppercase+last_letter,True
v i e j o,O,viejo,O,upper_last,uppercase+last_letter,True
v i e u x,X,vieux,X,upper_last,uppercase+last_letter,True
v i l l a i n,N,villain,N,upper_last,uppercase+last_letter,True
v i l l e,E,ville,E,upper_last,uppercase+last_letter,True
v i n,N,vin,N,upper_last,uppercase+last_letter,True
v i n o,O,vino,O,upper_last,uppercase+last_letter,True
v i o l e t,T,violet,T,upper_last,uppercase+last_letter,True
v o i t u r e,E,voiture,E,upper_last,uppercase+last_letter,True
v o l c a n o,O,volcano,O,upper_last,uppercase+last_letter,True
w a i t,T,wait,T,upper_last,uppercase+last_letter,True
w a l k,K,walk,K,upper_last,uppercase+last_letter,True
w a s h,H,wash,H,upper_last,uppercase+last_letter,True
w a t c h,H,watch,H,upper_last,uppercase+last_letter,True
w a t e r,R,water,R,upper_last,uppercase+last_letter,True
w a y,Y,way,Y,upper_last,uppercase+last_letter,True
w e a k,K,weak,K,upper_last,uppercase+last_letter,True
w e e k,K,week,K,upper_last,uppercase+last_letter,True
w h a r f,F,wharf,F,upper_last,uppercase+last_letter,True
w h i s p e r,R,whisper,R,upper_last,uppercase+last_letter,True
w h i t e,E,white,E,upper_last,uppercase+last_letter,True
w i d e,E,wide,E,upper_last,uppercase+last_letter,True
w i f e,E,wife,E,upper_last,uppercase+last_letter,True
w i n d o w,W,window,W,upper_last,uppercase+last_letter,True
w i n e,E,wine,E,upper_last,uppercase+last_letter,True
w o l f,F,wolf,F,upper_last,uppercase+last_letter,True
w o m a n,N,woman,N,upper_last,uppercase+last_letter,True
w o r d,D,word,D,upper_last,uppercase+last_letter,True
w o r k,K,work,K,upper_last,uppercase+last_letter,True
w o r k e r,R,worker,R,upper_last,uppercase+last_letter,True
w o r l d,D,world,D,upper_last,uppercase+last_letter,True
w r i t e,E,write,E,upper_last,uppercase+last_letter,True
w r i t e r,R,writer,R,upper_last,uppercase+last_letter,True
y e a r,R,year,R,upper_last,uppercase+last_letter,True
y e l l o w,W,yellow,W,upper_last,uppercase+last_letter,True
y e s,S,yes,S,upper_last,uppercase+last_letter,True
y e s t e r d a y,Y,yesterday,Y,upper_last,uppercase+last_letter,True
y o u n g,G,young,G,upper_last,uppercase+last_letter,True
á r b o l,L,árbol,L,upper_last,uppercase+last_letter,True
é c o l e,E,école,E,upper_last,uppercase+last_letter,True
é t o i l e,E,étoile,E,upper_last,uppercase+last_letter,True
é t r o i t,T,étroit,T,upper_last,uppercase+last_letter,True
é t u d i a n t,T,étudiant,T,upper_last,uppercase+last_letter,True
ú l t i m o,O,último,O,upper_last,uppercase+last_letter,True
œ i l,L,œil,L,upper_last,uppercase+last_letter,True
A F G H A N I S T A N,n,AFGHANISTAN,n,lower_last,lowercase+last_letter,True
A L B A N I A,a,ALBANIA,a,lower_last,lowercase+last_letter,True
A L G E R I A,a,ALGERIA,a,lower_last,lowercase+last_letter,True
A N D O R R A,a,ANDORRA,a,lower_last,lowercase+last_letter,True
A N G O L A,a,ANGOLA,a,lower_last,lowercase+last_letter,True
A R G E N T I N A,a,ARGENTINA,a,lower_last,lowercase+last_letter,True
A R M E N I A,a,ARMENIA,a,lower_last,lowercase+last_letter,True
A U S T R A L I A,a,AUSTRALIA,a,lower_last,lowercase+last_letter,True
A U S T R I A,a,AUSTRIA,a,lower_last,lowercase+last_letter,True
A Z E R B A I J A N,n,AZERBAIJAN,n,lower_last,lowercase+last_letter,True
B A H A M A S,s,BAHAMAS,s,lower_last,lowercase+last_letter,True
B A H R A I N,n,BAHRAIN,n,lower_last,lowercase+last_letter,True
B A N G L A D E S H,h,BANGLADESH,h,lower_last,lowercase+last_letter,True
B A R B A D O S,s,BARBADOS,s,lower_last,lowercase+last_letter,True
B E L A R U S,s,BELARUS,s,lower_last,lowercase+last_letter,True
B E L G I U M,m,BELGIUM,m,lower_last,lowercase+last_letter,True
B E L I Z E,e,BELIZE,e,lower_last,lowercase+last_letter,True
B E N I N,n,BENIN,n,lower_last,lowercase+last_letter,True
B H U T A N,n,BHUTAN,n,lower_last,lowercase+last_letter,True
B O L I V I A,a,BOLIVIA,a,lower_last,lowercase+last_letter,True
B O T S W A N A,a,BOTSWANA,a,lower_last,lowercase+last_letter,True
B R A Z I L,l,BRAZIL,l,lower_last,lowercase+last_letter,True
B R U N E I,i,BRUNEI,i,lower_last,lowercase+last_letter,True
B U L G A R I A,a,BULGARIA,a,lower_last,lowercase+last_letter,True
B U R U N D I,i,BURUNDI,i,lower_last,lowercase+last_letter,True
C A M B O D I A,a,CAMBODIA,a,lower_last,lowercase+last_letter,True
C A M E R O O N,n,CAMEROON,n,lower_last,lowercase+last_letter,True
C A N A D A,a,CANADA,a,lower_last,lowercase+last_letter,True
C H A D,d,CHAD,d,lower_last,lowercase+last_letter,True
C H I L E,e,CHILE,e,lower_last,lowercase+last_letter,True
C H I N A,a,CHINA,a,lower_last,lowercase+last_letter,True
C O L O M B I A,a,COLOMBIA,a,lower_last,lowercase+last_letter,True
C O M O R O S,s,COMOROS,s,lower_last,lowercase+last_letter,True
C O N G O,o,CONGO,o,lower_last,lowercase+last_letter,True
C R O A T I A,a,CROATIA,a,lower_last,lowercase+last_letter,True
C U B A,a,CUBA,a,lower_last,lowercase+last_letter,True
C Y P R U S,s,CYPRUS,s,lower_last,lowercase+last_letter,True
D E N M A R K,k,DENMARK,k,lower_last,lowercase+last_letter,True
D J I B O U T I,i,DJIBOUTI,i,lower_last,lowercase+last_letter,True
D O M I N I C A,a,DOMINICA,a,lower_last,lowercase+last_letter,True
E C U A D O R,r,ECUADOR,r,lower_last,lowercase+last_letter,True
E G Y P T,t,EGYPT,t,lower_last,lowercase+last_letter,True
E R I T R E A,a,ERITREA,a,lower_last,lowercase+last_letter,True
E S T O N I A,a,ESTONIA,a,lower_last,lowercase+last_letter,True
E S W A T I N I,i,ESWATINI,i,lower_last,lowercase+last_letter,True
E T H I O P I A,a,ETHIOPIA,a,lower_last,lowercase+last_letter,True
F I J I,i,FIJI,i,lower_last,lowercase+last_letter,True
F I N L A N D,d,FINLAND,d,lower_last,lowercase+last_letter,True
F R A N C E,e,FRANCE,e,lower_last,lowercase+last_letter,True
G A B O N,n,GABON,n,lower_last,lowercase+last_letter,True
G A M B I A,a,GAMBIA,a,lower_last,lowercase+last_letter,True
G E O R G I A,a,GEORGIA,a,lower_last,lowercase+last_letter,True
G E R M A N Y,y,GERMANY,y,lower_last,lowercase+last_letter,True
G H A N A,a,GHANA,a,lower_last,lowercase+last_letter,True
G R E E C E,e,GREECE,e,lower_last,lowercase+last_letter,True
G R E N A D A,a,GRENADA,a,lower_last,lowercase+last_letter,True
G U A T E M A L A,a,GUATEMALA,a,lower_last,lowercase+last_letter,True
G U I N E A,a,GUINEA,a,lower_last,lowercase+last_letter,True
G U Y A N A,a,GUYANA,a,lower_last,lowercase+last_letter,True
H A I T I,i,HAITI,i,lower_last,lowercase+last_letter,True
H O N D U R A S,s,HONDURAS,s,lower_last,lowercase+last_letter,True
H U N G A R Y,y,HUNGARY,y,lower_last,lowercase+last_letter,True
I C E L A N D,d,ICELAND,d,lower_last,lowercase+last_letter,True
I N D I A,a,INDIA,a,lower_last,lowercase+last_letter,True
I N D O N E S I A,a,INDONESIA,a,lower_last,lowercase+last_letter,True
I R A N,n,IRAN,n,lower_last,lowercase+last_letter,True
I R A Q,q,IRAQ,q,lower_last,lowercase+last_letter,True
I R E L A N D,d,IRELAND,d,lower_last,lowercase+last_letter,True
I S R A E L,l,ISRAEL,l,lower_last,lowercase+last_letter,True
I T A L Y,y,ITALY,y,lower_last,lowercase+last_letter,True
J A M A I C A,a,JAMAICA,a,lower_last,lowercase+last_letter,True
J A P A N,n,JAPAN,n,lower_last,lowercase+last_letter,True
J O R D A N,n,JORDAN,n,lower_last,lowercase+last_letter,True
K A Z A K H S T A N,n,KAZAKHSTAN,n,lower_last,lowercase+last_letter,True
K E N Y A,a,KENYA,a,lower_last,lowercase+last_letter,True
K I R I B A T I,i,KIRIBATI,i,lower_last,lowercase+last_letter,True
K O S O V O,o,KOSOVO,o,lower_last,lowercase+last_letter,True
K U W A I T,t,KUWAIT,t,lower_last,lowercase+last_letter,True
K Y R G Y Z S T A N,n,KYRGYZSTAN,n,lower_last,lowercase+last_letter,True
L A O S,s,LAOS,s,lower_last,lowercase+last_letter,True
L A T V I A,a,LATVIA,a,lower_last,lowercase+last_letter,True
L E B A N O N,n,LEBANON,n,lower_last,lowercase+last_letter,True
L E S O T H O,o,LESOTHO,o,lower_last,lowercase+last_letter,True
L I B E R I A,a,LIBERIA,a,lower_last,lowercase+last_letter,True
L I B Y A,a,LIBYA,a,lower_last,lowercase+last_letter,True
L I E C H T E N S T E I N,n,LIECHTENSTEIN,n,lower_last,lowercase+last_letter,True
L I T H U A N I A,a,LITHUANIA,a,lower_last,lowercase+last_letter,True
L U X E M B O U R G,g,LUXEMBOURG,g,lower_last,lowercase+last_letter,True
M A D A G A S C A R,r,MADAGASCAR,r,lower_last,lowercase+last_letter,True
M A L A W I,i,MALAWI,i,lower_last,lowercase+last_letter,True
M A L A Y S I A,a,MALAYSIA,a,lower_last,lowercase+last_letter,True
M A L D I V E S,s,MALDIVES,s,lower_last,lowercase+last_letter,True
M A L I,i,MALI,i,lower_last,lowercase+last_letter,True
M A L T A,a,MALTA,a,lower_last,lowercase+last_letter,True
M A U R I T A N I A,a,MAURITANIA,a,lower_last,lowercase+last_letter,True
M A U R I T I U S,s,MAURITIUS,s,lower_last,lowercase+last_letter,True
M E X I C O,o,MEXICO,o,lower_last,lowercase+last_letter,True
M I C R O N E S I A,a,MICRONESIA,a,lower_last,lowercase+last_letter,True
M O L D O V A,a,MOLDOVA,a,lower_last,lowercase+last_letter,True
M O N A C O,o,MONACO,o,lower_last,lowercase+last_letter,True
M O N G O L I A,a,MONGOLIA,a,lower_last,lowercase+last_letter,True
M O N T E N E G R O,o,MONTENEGRO,o,lower_last,lowercase+last_letter,True
M O R O C C O,o,MOROCCO,o,lower_last,lowercase+last_letter,True
M O Z A M B I Q U E,e,MOZAMBIQUE,e,lower_last,lowercase+last_letter,True
M Y A N M A R,r,MYANMAR,r,lower_last,lowercase+last_letter,True
N A M I B I A,a,NAMIBIA,a,lower_last,lowercase+last_letter,True
N A U R U,u,NAURU,u,lower_last,lowercase+last_letter,True
N E P A L,l,NEPAL,l,lower_last,lowercase+last_letter,True
N E T H E R L A N D S,s,NETHERLANDS,s,lower_last,lowercase+last_letter,True
N I C A R A G U A,a,NICARAGUA,a,lower_last,lowercase+last_letter,True
N I G E R,r,NIGER,r,lower_last,lowercase+last_letter,True
N I G E R I A,a,NIGERIA,a,lower_last,lowercase+last_letter,True
N O R W A Y,y,NORWAY,y,lower_last,lowercase+last_letter,True
O M A N,n,OMAN,n,lower_last,lowercase+last_letter,True
P A K I S T A N,n,PAKISTAN,n,lower_last,lowercase+last_letter,True
P A L A U,u,PALAU,u,lower_last,lowercase+last_letter,True
P A L E S T I N E,e,PALESTINE,e,lower_last,lowercase+last_letter,True
P A N A M A,a,PANAMA,a,lower_last,lowercase+last_letter,True
P A R A G U A Y,y,PARAGUAY,y,lower_last,lowercase+last_letter,True
P E R U,u,PERU,u,lower_last,lowercase+last_letter,True
P H I L I P P I N E S,s,PHILIPPINES,s,lower_last,lowercase+last_letter,True
P O L A N D,d,POLAND,d,lower_last,lowercase+last_letter,True
P O R T U G A L,l,PORTUGAL,l,lower_last,lowercase+last_letter,True
Q A T A R,r,QATAR,r,lower_last,lowercase+last_letter,True
R O M A N I A,a,ROMANIA,a,lower_last,lowercase+last_letter,True
R U S S I A,a,RUSSIA,a,lower_last,lowercase+last_letter,True
R W A N D A,a,RWANDA,a,lower_last,lowercase+last_letter,True
S A M O A,a,SAMOA,a,lower_last,lowercase+last_letter,True
S E N E G A L,l,SENEGAL,l,lower_last,lowercase+last_letter,True
S E R B I A,a,SERBIA,a,lower_last,lowercase+last_letter,True
S E Y C H E L L E S,s,SEYCHELLES,s,lower_last,lowercase+last_letter,True
S I N G A P O R E,e,SINGAPORE,e,lower_last,lowercase+last_letter,True
S L O V A K I A,a,SLOVAKIA,a,lower_last,lowercase+last_letter,True
S L O V E N I A,a,SLOVENIA,a,lower_last,lowercase+last_letter,True
S O M A L I A,a,SOMALIA,a,lower_last,lowercase+last_letter,True
S P A I N,n,SPAIN,n,lower_last,lowercase+last_letter,True
S U D A N,n,SUDAN,n,lower_last,lowercase+last_letter,True
S U R I N A M E,e,SURINAME,e,lower_last,lowercase+last_letter,True
S W E D E N,n,SWEDEN,n,lower_last,lowercase+last_letter,True
S W I T Z E R L A N D,d,SWITZERLAND,d,lower_last,lowercase+last_letter,True
S Y R I A,a,SYRIA,a,lower_last,lowercase+last_letter,True
T A I W A N,n,TAIWAN,n,lower_last,lowercase+last_letter,True
T A J I K I S T A N,n,TAJIKISTAN,n,lower_last,lowercase+last_letter,True
T A N Z A N I A,a,TANZANIA,a,lower_last,lowercase+last_letter,True
T H A I L A N D,d,THAILAND,d,lower_last,lowercase+last_letter,True
T O G O,o,TOGO,o,lower_last,lowercase+last_letter,True
T O N G A,a,TONGA,a,lower_last,lowercase+last_letter,True
T U N I S I A,a,TUNISIA,a,lower_last,lowercase+last_letter,True
T U R K E Y,y,TURKEY,y,lower_last,lowercase+last_letter,True
T U R K M E N I S T A N,n,TURKMENISTAN,n,lower_last,lowercase+last_letter,True
T U V A L U,u,TUVALU,u,lower_last,lowercase+last_letter,True
U A E,e,UAE,e,lower_last,lowercase+last_letter,True
U G A N D A,a,UGANDA,a,lower_last,lowercase+last_letter,True
U K R A I N E,e,UKRAINE,e,lower_last,lowercase+last_letter,True
U R U G U A Y,y,URUGUAY,y,lower_last,lowercase+last_letter,True
U Z B E K I S T A N,n,UZBEKISTAN,n,lower_last,lowercase+last_letter,True
V A N U A T U,u,VANUATU,u,lower_last,lowercase+last_letter,True
V E N E Z U E L A,a,VENEZUELA,a,lower_last,lowercase+last_letter,True
V I E T N A M,m,VIETNAM,m,lower_last,lowercase+last_letter,True
Y E M E N,n,YEMEN,n,lower_last,lowercase+last_letter,True
Z A M B I A,a,ZAMBIA,a,lower_last,lowercase+last_letter,True
Z I M B A B W E,e,ZIMBABWE,e,lower_last,lowercase+last_letter,True
A B A J O,o,ABAJO,o,lower_last,lowercase+last_letter,True
A B I E R T O,o,ABIERTO,o,lower_last,lowercase+last_letter,True
A B O G A D O,o,ABOGADO,o,lower_last,lowercase+last_letter,True
A B U E L A,a,ABUELA,a,lower_last,lowercase+last_letter,True
A B U E L O,o,ABUELO,o,lower_last,lowercase+last_letter,True
A C C E L E R A T E,e,ACCELERATE,e,lower_last,lowercase+last_letter,True
A C H I E V E,e,ACHIEVE,e,lower_last,lowercase+last_letter,True
A C T I V A T E,e,ACTIVATE,e,lower_last,lowercase+last_letter,True
A C T O R,r,ACTOR,r,lower_last,lowercase+last_letter,True
A C T R E S S,s,ACTRESS,s,lower_last,lowercase+last_letter,True
A D I Ó S,s,ADIÓS,s,lower_last,lowercase+last_letter,True
A D V E R T I S E,e,ADVERTISE,e,lower_last,lowercase+last_letter,True
A G U A,a,AGUA,a,lower_last,lowercase+last_letter,True
A L T O,o,ALTO,o,lower_last,lowercase+last_letter,True
A M A R I L L O,o,AMARILLO,o,lower_last,lowercase+last_letter,True
A M I,i,AMI,i,lower_last,lowercase+last_letter,True
A M I G O,o,AMIGO,o,lower_last,lowercase+last_letter,True
A N,n,AN,n,lower_last,lowercase+last_letter,True
A N A L Y S I S,s,ANALYSIS,s,lower_last,lowercase+last_letter,True
A N C H O,o,ANCHO,o,lower_last,lowercase+last_letter,True
A N T I C I P A T E,e,ANTICIPATE,e,lower_last,lowercase+last_letter,True
A P O L O G I Z E,e,APOLOGIZE,e,lower_last,lowercase+last_letter,True
A P P L E,e,APPLE,e,lower_last,lowercase+last_letter,True
A P P R E C I A T E,e,APPRECIATE,e,lower_last,lowercase+last_letter,True
A R B R E,e,ARBRE,e,lower_last,lowercase+last_letter,True
A R G U E,e,ARGUE,e,lower_last,lowercase+last_letter,True
A R M,m,ARM,m,lower_last,lowercase+last_letter,True
A R R I B A,a,ARRIBA,a,lower_last,lowercase+last_letter,True
A R R I V E,e,ARRIVE,e,lower_last,lowercase+last_letter,True
A R T E R Y,y,ARTERY,y,lower_last,lowercase+last_letter,True
A R T I S T,t,ARTIST,t,lower_last,lowercase+last_letter,True
A R T I S T A,a,ARTISTA,a,lower_last,lowercase+last_letter,True
A R T I S T E,e,ARTISTE,e,lower_last,lowercase+last_letter,True
A T R Á S,s,ATRÁS,s,lower_last,lowercase+last_letter,True
A U N T,t,AUNT,t,lower_last,lowercase+last_letter,True
A V O C A T,t,AVOCAT,t,lower_last,lowercase+last_letter,True
A X I S,s,AXIS,s,lower_last,lowercase+last_letter,True
A Y E R,r,AYER,r,lower_last,lowercase+last_letter,True
A Z U L,l,AZUL,l,lower_last,lowercase+last_letter,True
A Z Ú C A R,r,AZÚCAR,r,lower_last,lowercase+last_letter,True
A Ñ O,o,AÑO,o,lower_last,lowercase+last_letter,True
