input,output,category_name,operations
MEXICO,ocixem,lower_reverse,lowercase+reverse
MICRONESIA,aisenorcim,lower_reverse,lowercase+reverse
MOLDOVA,avodlom,lower_reverse,lowercase+reverse
MONACO,ocanom,lower_reverse,lowercase+reverse
MONGOLIA,ailognom,lower_reverse,lowercase+reverse
MONTENEGRO,orgenetnom,lower_reverse,lowercase+reverse
MOROCCO,occorom,lower_reverse,lowercase+reverse
MOZAMBIQUE,euqibmazom,lower_reverse,lowercase+reverse
MYANMAR,ramnaym,lower_reverse,lowercase+reverse
NAMIBIA,aibiman,lower_reverse,lowercase+reverse
NAURU,uruan,lower_reverse,lowercase+reverse
NEPAL,lapen,lower_reverse,lowercase+reverse
NETHERLANDS,sdnalrehten,lower_reverse,lowercase+reverse
NICARAGUA,augaracin,lower_reverse,lowercase+reverse
NIGER,regin,lower_reverse,lowercase+reverse
NIGERIA,airegin,lower_reverse,lowercase+reverse
NORWAY,yawron,lower_reverse,lowercase+reverse
OMAN,namo,lower_reverse,lowercase+reverse
PAKISTAN,natsikap,lower_reverse,lowercase+reverse
PALAU,ualap,lower_reverse,lowercase+reverse
PALESTINE,enitselap,lower_reverse,lowercase+reverse
PANAMA,amanap,lower_reverse,lowercase+reverse
PARAGUAY,yaugarap,lower_reverse,lowercase+reverse
PERU,urep,lower_reverse,lowercase+reverse
PHILIPPINES,senippilihp,lower_reverse,lowercase+reverse
POLAND,dnalop,lower_reverse,lowercase+reverse
PORTUGAL,lagutrop,lower_reverse,lowercase+reverse
QATAR,rataq,lower_reverse,lowercase+reverse
ROMANIA,ainamor,lower_reverse,lowercase+reverse
RUSSIA,aissur,lower_reverse,lowercase+reverse
RWANDA,adnawr,lower_reverse,lowercase+reverse
SAMOA,aomas,lower_reverse,lowercase+reverse
SENEGAL,lagenes,lower_reverse,lowercase+reverse
SERBIA,aibres,lower_reverse,lowercase+reverse
SEYCHELLES,sellehcyes,lower_reverse,lowercase+reverse
SINGAPORE,eropagnis,lower_reverse,lowercase+reverse
SLOVAKIA,aikavols,lower_reverse,lowercase+reverse
SLOVENIA,ainevols,lower_reverse,lowercase+reverse
SOMALIA,ailamos,lower_reverse,lowercase+reverse
SPAIN,niaps,lower_reverse,lowercase+reverse
SUDAN,nadus,lower_reverse,lowercase+reverse
SURINAME,emanirus,lower_reverse,lowercase+reverse
SWEDEN,nedews,lower_reverse,lowercase+reverse
SWITZERLAND,dnalreztiws,lower_reverse,lowercase+reverse
SYRIA,airys,lower_reverse,lowercase+reverse
TAIWAN,nawiat,lower_reverse,lowercase+reverse
TAJIKISTAN,natsikijat,lower_reverse,lowercase+reverse
TANZANIA,ainaznat,lower_reverse,lowercase+reverse
THAILAND,dnaliaht,lower_reverse,lowercase+reverse
TOGO,ogot,lower_reverse,lowercase+reverse
TONGA,agnot,lower_reverse,lowercase+reverse
TUNISIA,aisinut,lower_reverse,lowercase+reverse
TURKEY,yekrut,lower_reverse,lowercase+reverse
TURKMENISTAN,natsinemkrut,lower_reverse,lowercase+reverse
TUVALU,ulavut,lower_reverse,lowercase+reverse
UAE,eau,lower_reverse,lowercase+reverse
UGANDA,adnagu,lower_reverse,lowercase+reverse
UKRAINE,eniarku,lower_reverse,lowercase+reverse
URUGUAY,yauguru,lower_reverse,lowercase+reverse
UZBEKISTAN,natsikebzu,lower_reverse,lowercase+reverse
VANUATU,utaunav,lower_reverse,lowercase+reverse
VENEZUELA,aleuzenev,lower_reverse,lowercase+reverse
VIETNAM,manteiv,lower_reverse,lowercase+reverse
YEMEN,nemey,lower_reverse,lowercase+reverse
ZAMBIA,aibmaz,lower_reverse,lowercase+reverse
ZIMBABWE,ewbabmiz,lower_reverse,lowercase+reverse
ABAJO,ojaba,lower_reverse,lowercase+reverse
ABIERTO,otreiba,lower_reverse,lowercase+reverse
ABOGADO,odagoba,lower_reverse,lowercase+reverse
ABUELA,aleuba,lower_reverse,lowercase+reverse
ABUELO,oleuba,lower_reverse,lowercase+reverse
ACCELERATE,etarelecca,lower_reverse,lowercase+reverse
ACHIEVE,eveihca,lower_reverse,lowercase+reverse
ACTIVATE,etavitca,lower_reverse,lowercase+reverse
ACTOR,rotca,lower_reverse,lowercase+reverse
ACTRESS,ssertca,lower_reverse,lowercase+reverse
ADIÓS,sóida,lower_reverse,lowercase+reverse
ADVERTISE,esitrevda,lower_reverse,lowercase+reverse
AGUA,auga,lower_reverse,lowercase+reverse
ALTO,otla,lower_reverse,lowercase+reverse
AMARILLO,ollirama,lower_reverse,lowercase+reverse
AMI,ima,lower_reverse,lowercase+reverse
AMIGO,ogima,lower_reverse,lowercase+reverse
AN,na,lower_reverse,lowercase+reverse
ANALYSIS,sisylana,lower_reverse,lowercase+reverse
ANCHO,ohcna,lower_reverse,lowercase+reverse
ANTICIPATE,etapicitna,lower_reverse,lowercase+reverse
APOLOGIZE,ezigolopa,lower_reverse,lowercase+reverse
APPLE,elppa,lower_reverse,lowercase+reverse
APPRECIATE,etaicerppa,lower_reverse,lowercase+reverse
ARBRE,erbra,lower_reverse,lowercase+reverse
ARGUE,eugra,lower_reverse,lowercase+reverse
ARM,mra,lower_reverse,lowercase+reverse
ARRIBA,abirra,lower_reverse,lowercase+reverse
ARRIVE,evirra,lower_reverse,lowercase+reverse
ARTERY,yretra,lower_reverse,lowercase+reverse
ARTIST,tsitra,lower_reverse,lowercase+reverse
ARTISTA,atsitra,lower_reverse,lowercase+reverse
ARTISTE,etsitra,lower_reverse,lowercase+reverse
ATRÁS,sárta,lower_reverse,lowercase+reverse
AUNT,tnua,lower_reverse,lowercase+reverse
AVOCAT,tacova,lower_reverse,lowercase+reverse
AXIS,sixa,lower_reverse,lowercase+reverse
AYER,reya,lower_reverse,lowercase+reverse
AZUL,luza,lower_reverse,lowercase+reverse
AZÚCAR,racúza,lower_reverse,lowercase+reverse
AÑO,oña,lower_reverse,lowercase+reverse
BABY,ybab,lower_reverse,lowercase+reverse
BACK,kcab,lower_reverse,lowercase+reverse
BAD,dab,lower_reverse,lowercase+reverse
BAILE,eliab,lower_reverse,lowercase+reverse
BAJO,ojab,lower_reverse,lowercase+reverse
BAKE,ekab,lower_reverse,lowercase+reverse
BAKER,rekab,lower_reverse,lowercase+reverse
BALL,llab,lower_reverse,lowercase+reverse
BALLE,ellab,lower_reverse,lowercase+reverse
BANANA,ananab,lower_reverse,lowercase+reverse
BAS,sab,lower_reverse,lowercase+reverse
BASIS,sisab,lower_reverse,lowercase+reverse
BAY,yab,lower_reverse,lowercase+reverse
BEACH,hcaeb,lower_reverse,lowercase+reverse
BEAU,uaeb,lower_reverse,lowercase+reverse
BEAUTIFUL,lufituaeb,lower_reverse,lowercase+reverse
BEBÉ,ébeb,lower_reverse,lowercase+reverse
BEGIN,nigeb,lower_reverse,lowercase+reverse
BELIEF,feileb,lower_reverse,lowercase+reverse
BELIEVE,eveileb,lower_reverse,lowercase+reverse
BEND,dneb,lower_reverse,lowercase+reverse
BERRY,yrreb,lower_reverse,lowercase+reverse
BIG,gib,lower_reverse,lowercase+reverse
BIKE,ekib,lower_reverse,lowercase+reverse
BIRD,drib,lower_reverse,lowercase+reverse
BLACK,kcalb,lower_reverse,lowercase+reverse
BLANC,cnalb,lower_reverse,lowercase+reverse
BLANCO,ocnalb,lower_reverse,lowercase+reverse
BLEU,uelb,lower_reverse,lowercase+reverse
BLUE,eulb,lower_reverse,lowercase+reverse
BOCA,acob,lower_reverse,lowercase+reverse
BODY,ydob,lower_reverse,lowercase+reverse
BON,nob,lower_reverse,lowercase+reverse
BONE,enob,lower_reverse,lowercase+reverse
BONJOUR,ruojnob,lower_reverse,lowercase+reverse
BONSOIR,riosnob,lower_reverse,lowercase+reverse
BOOK,koob,lower_reverse,lowercase+reverse
BOUCHE,ehcuob,lower_reverse,lowercase+reverse
BOX,xob,lower_reverse,lowercase+reverse
BOY,yob,lower_reverse,lowercase+reverse
BRAIN,niarb,lower_reverse,lowercase+reverse
BREAD,daerb,lower_reverse,lowercase+reverse
BROTHER,rehtorb,lower_reverse,lowercase+reverse
BROWN,nworb,lower_reverse,lowercase+reverse
BRUSH,hsurb,lower_reverse,lowercase+reverse
BUENO,oneub,lower_reverse,lowercase+reverse
BUILD,dliub,lower_reverse,lowercase+reverse
BUILDER,redliub,lower_reverse,lowercase+reverse
BUS,sub,lower_reverse,lowercase+reverse
BUTCHER,rehctub,lower_reverse,lowercase+reverse
BUTTERFLY,ylfrettub,lower_reverse,lowercase+reverse
BÉBÉ,ébéb,lower_reverse,lowercase+reverse
CABALLO,ollabac,lower_reverse,lowercase+reverse
CABEZA,azebac,lower_reverse,lowercase+reverse
CAFÉ,éfac,lower_reverse,lowercase+reverse
CALCULATE,etaluclac,lower_reverse,lowercase+reverse
CALF,flac,lower_reverse,lowercase+reverse
CALIENTE,etneilac,lower_reverse,lowercase+reverse
CALLE,ellac,lower_reverse,lowercase+reverse
CAMP,pmac,lower_reverse,lowercase+reverse
CANCIÓN,nóicnac,lower_reverse,lowercase+reverse
CANTANTE,etnatnac,lower_reverse,lowercase+reverse
CAR,rac,lower_reverse,lowercase+reverse
CARE,erac,lower_reverse,lowercase+reverse
CARGO,ograc,lower_reverse,lowercase+reverse
CARRY,yrrac,lower_reverse,lowercase+reverse
CARTA,atrac,lower_reverse,lowercase+reverse
CASA,asac,lower_reverse,lowercase+reverse
CAT,tac,lower_reverse,lowercase+reverse
CATCH,hctac,lower_reverse,lowercase+reverse
CELEBRATE,etarbelec,lower_reverse,lowercase+reverse
CENT,tnec,lower_reverse,lowercase+reverse
CERCA,acrec,lower_reverse,lowercase+reverse
CEREBRO,orberec,lower_reverse,lowercase+reverse
CERRADO,odarrec,lower_reverse,lowercase+reverse
CERVEAU,uaevrec,lower_reverse,lowercase+reverse
CHAIR,riahc,lower_reverse,lowercase+reverse
CHAISE,esiahc,lower_reverse,lowercase+reverse
CHANGE,egnahc,lower_reverse,lowercase+reverse
CHANSON,nosnahc,lower_reverse,lowercase+reverse
CHAT,tahc,lower_reverse,lowercase+reverse
CHAUD,duahc,lower_reverse,lowercase+reverse
CHEESE,eseehc,lower_reverse,lowercase+reverse
CHEF,fehc,lower_reverse,lowercase+reverse
CHEVAL,lavehc,lower_reverse,lowercase+reverse
CHIEF,feihc,lower_reverse,lowercase+reverse
CHIEN,neihc,lower_reverse,lowercase+reverse
CHILD,dlihc,lower_reverse,lowercase+reverse
CHURCH,hcruhc,lower_reverse,lowercase+reverse
CIEN,neic,lower_reverse,lowercase+reverse
CINCO,ocnic,lower_reverse,lowercase+reverse
CINQ,qnic,lower_reverse,lowercase+reverse
CITY,ytic,lower_reverse,lowercase+reverse
CIUDAD,daduic,lower_reverse,lowercase+reverse
CLASS,ssalc,lower_reverse,lowercase+reverse
CLEAN,naelc,lower_reverse,lowercase+reverse
CLERK,krelc,lower_reverse,lowercase+reverse
CLIFF,ffilc,lower_reverse,lowercase+reverse
CLIMB,bmilc,lower_reverse,lowercase+reverse
CLOSE,esolc,lower_reverse,lowercase+reverse
CLOSED,desolc,lower_reverse,lowercase+reverse
COCHE,ehcoc,lower_reverse,lowercase+reverse
COFFEE,eeffoc,lower_reverse,lowercase+reverse
COLD,dloc,lower_reverse,lowercase+reverse
COME,emoc,lower_reverse,lowercase+reverse
COMIDA,adimoc,lower_reverse,lowercase+reverse
COMMUNICATE,etacinummoc,lower_reverse,lowercase+reverse
COMPETE,etepmoc,lower_reverse,lowercase+reverse
COMPLETE,etelpmoc,lower_reverse,lowercase+reverse
COMPUTER,retupmoc,lower_reverse,lowercase+reverse
CONCENTRATE,etartnecnoc,lower_reverse,lowercase+reverse
CONTEMPLATE,etalpmetnoc,lower_reverse,lowercase+reverse
CONTINUE,eunitnoc,lower_reverse,lowercase+reverse
COOK,kooc,lower_reverse,lowercase+reverse
COOPERATE,etarepooc,lower_reverse,lowercase+reverse
COORDINATE,etanidrooc,lower_reverse,lowercase+reverse
CORAZÓN,nózaroc,lower_reverse,lowercase+reverse
CORPS,sproc,lower_reverse,lowercase+reverse
CORTO,otroc,lower_reverse,lowercase+reverse
COUNTRY,yrtnuoc,lower_reverse,lowercase+reverse
COURT,truoc,lower_reverse,lowercase+reverse
COUSIN,nisuoc,lower_reverse,lowercase+reverse
CREATE,etaerc,lower_reverse,lowercase+reverse
CRISIS,sisirc,lower_reverse,lowercase+reverse
CRITERION,noiretirc,lower_reverse,lowercase+reverse
CRITICIZE,ezicitirc,lower_reverse,lowercase+reverse
CRY,yrc,lower_reverse,lowercase+reverse
CUATRO,ortauc,lower_reverse,lowercase+reverse
CUERPO,opreuc,lower_reverse,lowercase+reverse
CULTIVATE,etavitluc,lower_reverse,lowercase+reverse
CUP,puc,lower_reverse,lowercase+reverse
CURRICULUM,mulucirruc,lower_reverse,lowercase+reverse
CŒUR,ruœc,lower_reverse,lowercase+reverse
DANCE,ecnad,lower_reverse,lowercase+reverse
DANCER,recnad,lower_reverse,lowercase+reverse
DANSE,esnad,lower_reverse,lowercase+reverse
DATUM,mutad,lower_reverse,lowercase+reverse
DAUGHTER,rethguad,lower_reverse,lowercase+reverse
DAY,yad,lower_reverse,lowercase+reverse
DECIDE,ediced,lower_reverse,lowercase+reverse
DECORATE,etaroced,lower_reverse,lowercase+reverse
DEDANS,snaded,lower_reverse,lowercase+reverse
DEDICATE,etacided,lower_reverse,lowercase+reverse
DEER,reed,lower_reverse,lowercase+reverse
DEFEAT,taefed,lower_reverse,lowercase+reverse
DEHORS,srohed,lower_reverse,lowercase+reverse
DELETE,eteled,lower_reverse,lowercase+reverse
DEMAIN,niamed,lower_reverse,lowercase+reverse
DEMONSTRATE,etartsnomed,lower_reverse,lowercase+reverse
DENTRO,ortned,lower_reverse,lowercase+reverse
DEPORTE,etroped,lower_reverse,lowercase+reverse
DERECHO,ohcered,lower_reverse,lowercase+reverse
DERNIER,reinred,lower_reverse,lowercase+reverse
DERRIÈRE,erèirred,lower_reverse,lowercase+reverse
DESIGNATE,etangised,lower_reverse,lowercase+reverse
DETERMINE,enimreted,lower_reverse,lowercase+reverse
DEUX,xued,lower_reverse,lowercase+reverse
DEVANT,tnaved,lower_reverse,lowercase+reverse
DEVIATE,etaived,lower_reverse,lowercase+reverse
DIEZ,zeid,lower_reverse,lowercase+reverse
DIFFICILE,eliciffid,lower_reverse,lowercase+reverse
DIFFICULT,tluciffid,lower_reverse,lowercase+reverse
DIFÍCIL,licífid,lower_reverse,lowercase+reverse
DIRECTOR,rotcerid,lower_reverse,lowercase+reverse
DIRTY,ytrid,lower_reverse,lowercase+reverse
DISH,hsid,lower_reverse,lowercase+reverse
DIX,xid,lower_reverse,lowercase+reverse
DOCTOR,rotcod,lower_reverse,lowercase+reverse
DOG,god,lower_reverse,lowercase+reverse
DOMINATE,etanimod,lower_reverse,lowercase+reverse
DOOR,rood,lower_reverse,lowercase+reverse
DOS,sod,lower_reverse,lowercase+reverse
DOWN,nwod,lower_reverse,lowercase+reverse
DRAW,ward,lower_reverse,lowercase+reverse
DRINK,knird,lower_reverse,lowercase+reverse
DRIVE,evird,lower_reverse,lowercase+reverse
DRIVER,revird,lower_reverse,lowercase+reverse
DROIT,tiord,lower_reverse,lowercase+reverse
DUCHESS,ssehcud,lower_reverse,lowercase+reverse
DUKE,ekud,lower_reverse,lowercase+reverse
DWARF,frawd,lower_reverse,lowercase+reverse
DÉBIL,libéd,lower_reverse,lowercase+reverse
DÍA,aíd,lower_reverse,lowercase+reverse
EAR,rae,lower_reverse,lowercase+reverse
EASY,ysae,lower_reverse,lowercase+reverse
EAT,tae,lower_reverse,lowercase+reverse
EAU,uae,lower_reverse,lowercase+reverse
ECHO,ohce,lower_reverse,lowercase+reverse
EDUCATE,etacude,lower_reverse,lowercase+reverse
EIGHT,thgie,lower_reverse,lowercase+reverse
ELF,fle,lower_reverse,lowercase+reverse
ELIMINATE,etanimile,lower_reverse,lowercase+reverse
EMPEROR,rorepme,lower_reverse,lowercase+reverse
EMPRESS,sserpme,lower_reverse,lowercase+reverse
EMPTY,ytpme,lower_reverse,lowercase+reverse
END,dne,lower_reverse,lowercase+reverse
ENFANT,tnafne,lower_reverse,lowercase+reverse
ENFERMERA,aremrefne,lower_reverse,lowercase+reverse
ENGINEER,reenigne,lower_reverse,lowercase+reverse
ESCALATE,etalacse,lower_reverse,lowercase+reverse
ESCUELA,aleucse,lower_reverse,lowercase+reverse
ESPOSA,asopse,lower_reverse,lowercase+reverse
ESPOSO,osopse,lower_reverse,lowercase+reverse
ESTRECHO,ohcertse,lower_reverse,lowercase+reverse
ESTRELLA,allertse,lower_reverse,lowercase+reverse
ESTUDIANTE,etnaidutse,lower_reverse,lowercase+reverse
EVALUATE,etaulave,lower_reverse,lowercase+reverse
EVAPORATE,etaropave,lower_reverse,lowercase+reverse
EXAGGERATE,etareggaxe,lower_reverse,lowercase+reverse
EXAMINE,enimaxe,lower_reverse,lowercase+reverse
EXCITE,eticxe,lower_reverse,lowercase+reverse
EXERCISE,esicrexe,lower_reverse,lowercase+reverse
EXPLORE,erolpxe,lower_reverse,lowercase+reverse
EYE,eye,lower_reverse,lowercase+reverse
FACILE,elicaf,lower_reverse,lowercase+reverse
FAIBLE,elbiaf,lower_reverse,lowercase+reverse
FAMILIA,ailimaf,lower_reverse,lowercase+reverse
FAMILLE,ellimaf,lower_reverse,lowercase+reverse
FAMILY,ylimaf,lower_reverse,lowercase+reverse
FAR,raf,lower_reverse,lowercase+reverse
FARMER,remraf,lower_reverse,lowercase+reverse
FASCINATE,etanicsaf,lower_reverse,lowercase+reverse
FAST,tsaf,lower_reverse,lowercase+reverse
FATHER,rehtaf,lower_reverse,lowercase+reverse
FEEL,leef,lower_reverse,lowercase+reverse
FELIZ,zilef,lower_reverse,lowercase+reverse
FEMME,emmef,lower_reverse,lowercase+reverse
FENÊTRE,ertênef,lower_reverse,lowercase+reverse
FEO,oef,lower_reverse,lowercase+reverse
FERMIER,reimref,lower_reverse,lowercase+reverse
FERMÉ,émref,lower_reverse,lowercase+reverse
FILLE,ellif,lower_reverse,lowercase+reverse
FILS,slif,lower_reverse,lowercase+reverse
FINGER,regnif,lower_reverse,lowercase+reverse
FINISH,hsinif,lower_reverse,lowercase+reverse
FIRST,tsrif,lower_reverse,lowercase+reverse
FISH,hsif,lower_reverse,lowercase+reverse
FIVE,evif,lower_reverse,lowercase+reverse
FLEUR,ruelf,lower_reverse,lowercase+reverse
FLOR,rolf,lower_reverse,lowercase+reverse
FLOWER,rewolf,lower_reverse,lowercase+reverse
FLY,ylf,lower_reverse,lowercase+reverse
FOOD,doof,lower_reverse,lowercase+reverse
FOOT,toof,lower_reverse,lowercase+reverse
FORK,krof,lower_reverse,lowercase+reverse
FORT,trof,lower_reverse,lowercase+reverse
FOUR,ruof,lower_reverse,lowercase+reverse
FOX,xof,lower_reverse,lowercase+reverse
FRASE,esarf,lower_reverse,lowercase+reverse
FRENTE,etnerf,lower_reverse,lowercase+reverse
FRIEND,dneirf,lower_reverse,lowercase+reverse
FROID,diorf,lower_reverse,lowercase+reverse
FROMAGE,egamorf,lower_reverse,lowercase+reverse
FRONT,tnorf,lower_reverse,lowercase+reverse
FRÈRE,erèrf,lower_reverse,lowercase+reverse
FRÍO,oírf,lower_reverse,lowercase+reverse
FUERA,areuf,lower_reverse,lowercase+reverse
FUERTE,etreuf,lower_reverse,lowercase+reverse
FULL,lluf,lower_reverse,lowercase+reverse
FÁCIL,licáf,lower_reverse,lowercase+reverse
GAME,emag,lower_reverse,lowercase+reverse
GARÇON,noçrag,lower_reverse,lowercase+reverse
GATO,otag,lower_reverse,lowercase+reverse
GAUCHE,ehcuag,lower_reverse,lowercase+reverse
GENERATE,etareneg,lower_reverse,lowercase+reverse
GIRL,lrig,lower_reverse,lowercase+reverse
GIVE,evig,lower_reverse,lowercase+reverse
GLASS,ssalg,lower_reverse,lowercase+reverse
GOOD,doog,lower_reverse,lowercase+reverse
GOODBYE,eybdoog,lower_reverse,lowercase+reverse
GOOSE,esoog,lower_reverse,lowercase+reverse
GRACIAS,saicarg,lower_reverse,lowercase+reverse
GRAND,dnarg,lower_reverse,lowercase+reverse
GRANDE,ednarg,lower_reverse,lowercase+reverse
GRANDFATHER,rehtafdnarg,lower_reverse,lowercase+reverse
GRANDMOTHER,rehtomdnarg,lower_reverse,lowercase+reverse
GRANJERO,orejnarg,lower_reverse,lowercase+reverse
GRAY,yarg,lower_reverse,lowercase+reverse
GREEN,neerg,lower_reverse,lowercase+reverse
GREET,teerg,lower_reverse,lowercase+reverse
GRIEF,feirg,lower_reverse,lowercase+reverse
GRIS,sirg,lower_reverse,lowercase+reverse
GULF,flug,lower_reverse,lowercase+reverse
GUY,yug,lower_reverse,lowercase+reverse
HALF,flah,lower_reverse,lowercase+reverse
HAND,dnah,lower_reverse,lowercase+reverse
HAPPY,yppah,lower_reverse,lowercase+reverse
HATE,etah,lower_reverse,lowercase+reverse
HAUT,tuah,lower_reverse,lowercase+reverse
HEAD,daeh,lower_reverse,lowercase+reverse
HEAR,raeh,lower_reverse,lowercase+reverse
HEART,traeh,lower_reverse,lowercase+reverse
HEAVY,yvaeh,lower_reverse,lowercase+reverse
HELLO,olleh,lower_reverse,lowercase+reverse
HELP,pleh,lower_reverse,lowercase+reverse
HERMANA,anamreh,lower_reverse,lowercase+reverse
HERMANO,onamreh,lower_reverse,lowercase+reverse
HERMOSO,osomreh,lower_reverse,lowercase+reverse
HERO,oreh,lower_reverse,lowercase+reverse
HEROINE,enioreh,lower_reverse,lowercase+reverse
HESITATE,etatiseh,lower_reverse,lowercase+reverse
HEUREUX,xuerueh,lower_reverse,lowercase+reverse
HIBERNATE,etanrebih,lower_reverse,lowercase+reverse
HIER,reih,lower_reverse,lowercase+reverse
HIGH,hgih,lower_reverse,lowercase+reverse
HIJA,ajih,lower_reverse,lowercase+reverse
HIJO,ojih,lower_reverse,lowercase+reverse
HIKE,ekih,lower_reverse,lowercase+reverse
HOLA,aloh,lower_reverse,lowercase+reverse
HOLD,dloh,lower_reverse,lowercase+reverse
HOMBRE,erbmoh,lower_reverse,lowercase+reverse
HOMME,emmoh,lower_reverse,lowercase+reverse
HOOF,fooh,lower_reverse,lowercase+reverse
HOPE,epoh,lower_reverse,lowercase+reverse
HORSE,esroh,lower_reverse,lowercase+reverse
HOT,toh,lower_reverse,lowercase+reverse
HOUSE,esuoh,lower_reverse,lowercase+reverse
HOY,yoh,lower_reverse,lowercase+reverse
HUIT,tiuh,lower_reverse,lowercase+reverse
HUNDRED,derdnuh,lower_reverse,lowercase+reverse
HUNT,tnuh,lower_reverse,lowercase+reverse
HUSBAND,dnabsuh,lower_reverse,lowercase+reverse
ILLUSTRATE,etartsulli,lower_reverse,lowercase+reverse
IMAGINE,enigami,lower_reverse,lowercase+reverse
IMITATE,etatimi,lower_reverse,lowercase+reverse
IMPROVE,evorpmi,lower_reverse,lowercase+reverse
INCORPORATE,etaroprocni,lower_reverse,lowercase+reverse
INFIRMIÈRE,erèimrifni,lower_reverse,lowercase+reverse
INITIATE,etaitini,lower_reverse,lowercase+reverse
INNOVATE,etavonni,lower_reverse,lowercase+reverse
INSIDE,edisni,lower_reverse,lowercase+reverse
INTEGRATE,etargetni,lower_reverse,lowercase+reverse
INVESTIGATE,etagitsevni,lower_reverse,lowercase+reverse
INVITE,etivni,lower_reverse,lowercase+reverse
IRRITATE,etatirri,lower_reverse,lowercase+reverse
ISSUE,eussi,lower_reverse,lowercase+reverse
IZQUIERDO,odreiuqzi,lower_reverse,lowercase+reverse
JAUNE,enuaj,lower_reverse,lowercase+reverse
JEU,uej,lower_reverse,lowercase+reverse
JEUNE,enuej,lower_reverse,lowercase+reverse
JOUR,ruoj,lower_reverse,lowercase+reverse
JOVEN,nevoj,lower_reverse,lowercase+reverse
JUEGO,ogeuj,lower_reverse,lowercase+reverse
JUMP,pmuj,lower_reverse,lowercase+reverse
KEY,yek,lower_reverse,lowercase+reverse
KIDNEY,yendik,lower_reverse,lowercase+reverse
KING,gnik,lower_reverse,lowercase+reverse
KISS,ssik,lower_reverse,lowercase+reverse
KNEEL,leenk,lower_reverse,lowercase+reverse
KNIFE,efink,lower_reverse,lowercase+reverse
KNIGHT,thgink,lower_reverse,lowercase+reverse
LADY,ydal,lower_reverse,lowercase+reverse
LAID,dial,lower_reverse,lowercase+reverse
LAIT,tial,lower_reverse,lowercase+reverse
LARGE,egral,lower_reverse,lowercase+reverse
LARGO,ogral,lower_reverse,lowercase+reverse
LAST,tsal,lower_reverse,lowercase+reverse
LAUGH,hgual,lower_reverse,lowercase+reverse
LAWYER,reywal,lower_reverse,lowercase+reverse
LEAF,fael,lower_reverse,lowercase+reverse
LEARN,nrael,lower_reverse,lowercase+reverse
LEAVE,evael,lower_reverse,lowercase+reverse
LECHE,ehcel,lower_reverse,lowercase+reverse
LEFT,tfel,lower_reverse,lowercase+reverse
LEG,gel,lower_reverse,lowercase+reverse
LEJOS,sojel,lower_reverse,lowercase+reverse
LENT,tnel,lower_reverse,lowercase+reverse
LENTO,otnel,lower_reverse,lowercase+reverse
LETTER,rettel,lower_reverse,lowercase+reverse
LETTRE,erttel,lower_reverse,lowercase+reverse
LIBRARY,yrarbil,lower_reverse,lowercase+reverse
LIBRO,orbil,lower_reverse,lowercase+reverse
LIE,eil,lower_reverse,lowercase+reverse
LIFE,efil,lower_reverse,lowercase+reverse
LIGERO,oregil,lower_reverse,lowercase+reverse
LIGHT,thgil,lower_reverse,lowercase+reverse
LIMPIO,oipmil,lower_reverse,lowercase+reverse
LISTEN,netsil,lower_reverse,lowercase+reverse
LIVE,evil,lower_reverse,lowercase+reverse
LIVER,revil,lower_reverse,lowercase+reverse
LIVRE,ervil,lower_reverse,lowercase+reverse
LLENO,onell,lower_reverse,lowercase+reverse
LOAF,faol,lower_reverse,lowercase+reverse
LOIN,niol,lower_reverse,lowercase+reverse
LONG,gnol,lower_reverse,lowercase+reverse
LORD,drol,lower_reverse,lowercase+reverse
LOURD,druol,lower_reverse,lowercase+reverse
LOVE,evol,lower_reverse,lowercase+reverse
LOW,wol,lower_reverse,lowercase+reverse
LUNA,anul,lower_reverse,lowercase+reverse
LUNE,enul,lower_reverse,lowercase+reverse
LUNG,gnul,lower_reverse,lowercase+reverse
LÉGER,regél,lower_reverse,lowercase+reverse
MADRE,erdam,lower_reverse,lowercase+reverse
MAIN,niam,lower_reverse,lowercase+reverse
MAISON,nosiam,lower_reverse,lowercase+reverse
MAKE,ekam,lower_reverse,lowercase+reverse
MALO,olam,lower_reverse,lowercase+reverse
MAN,nam,lower_reverse,lowercase+reverse
MANAGE,eganam,lower_reverse,lowercase+reverse
MANAGER,reganam,lower_reverse,lowercase+reverse
MANO,onam,lower_reverse,lowercase+reverse
MANZANA,anaznam,lower_reverse,lowercase+reverse
MARI,iram,lower_reverse,lowercase+reverse
MARRON,norram,lower_reverse,lowercase+reverse
MARRÓN,nórram,lower_reverse,lowercase+reverse
MAUVAIS,siavuam,lower_reverse,lowercase+reverse
MAÑANA,anañam,lower_reverse,lowercase+reverse
MEDITATE,etatidem,lower_reverse,lowercase+reverse
MEDIUM,muidem,lower_reverse,lowercase+reverse
MEET,teem,lower_reverse,lowercase+reverse
MERCI,icrem,lower_reverse,lowercase+reverse
MES,sem,lower_reverse,lowercase+reverse
MESA,asem,lower_reverse,lowercase+reverse
MIL,lim,lower_reverse,lowercase+reverse
MILK,klim,lower_reverse,lowercase+reverse
MILLE,ellim,lower_reverse,lowercase+reverse
MOIS,siom,lower_reverse,lowercase+reverse
MONDE,ednom,lower_reverse,lowercase+reverse
MONTH,htnom,lower_reverse,lowercase+reverse
MOON,noom,lower_reverse,lowercase+reverse
MORADO,odarom,lower_reverse,lowercase+reverse
MOSQUITO,otiuqsom,lower_reverse,lowercase+reverse
